@RELATION offres_emploi_maroc

@ATTRIBUTE desc_length NUMERIC
@ATTRIBUTE word_count NUMERIC
@ATTRIBUTE is_remote {0,1}
@ATTRIBUTE has_education {0,1}
@ATTRIBUTE has_experience {0,1}
@ATTRIBUTE location {casablanca,rabat,marrakech,tanger,agadir,fes,mohammedia,sale,kenitra,autre}
@ATTRIBUTE category {IT_DEVELOPPEMENT,JURIDIQUE_DROIT,SANTE_MEDICAL,ENERGIE_ENVIRONNEMENT,TELECOM_RESEAUX,BATIMENT_CONSTRUCTION,ADMIN_SYSTEME_CLOUD,EDUCATION_FORMATION,COMMERCIAL_VENTE,MARKETING_COM,RESSOURCES_HUMAINES,COMPTABILITE_FINANCE,LOGISTIQUE_TRANSPORT,PRODUCTION_INDUSTRIE,ADMINISTRATIF_SUPPORT,MANAGEMENT_DIRECTION,DATA_IA,INGENIERIE,SPECIAL_AUTRES,AUTRE_SECTEUR}

@DATA
404,56,0,1,0,sale,IT_DEVELOPPEMENT
360,53,0,1,0,sale,DATA_IA
405,55,0,0,0,sale,PRODUCTION_INDUSTRIE
351,48,0,0,1,sale,PRODUCTION_INDUSTRIE
405,57,0,1,0,sale,MANAGEMENT_DIRECTION
389,56,0,0,0,sale,PRODUCTION_INDUSTRIE
386,50,0,1,1,sale,DATA_IA
336,52,0,1,0,rabat,RESSOURCES_HUMAINES
367,57,0,1,0,fes,SPECIAL_AUTRES
462,63,0,0,0,rabat,RESSOURCES_HUMAINES
463,60,0,1,0,casablanca,COMMERCIAL_VENTE
454,66,0,1,0,autre,IT_DEVELOPPEMENT
395,58,0,1,0,casablanca,ADMINISTRATIF_SUPPORT
375,45,0,0,0,casablanca,COMMERCIAL_VENTE
393,59,0,0,1,casablanca,IT_DEVELOPPEMENT
391,59,0,1,1,autre,BATIMENT_CONSTRUCTION
352,49,0,1,0,autre,INGENIERIE
372,58,0,1,0,autre,INGENIERIE
344,46,0,1,1,casablanca,MANAGEMENT_DIRECTION
375,57,0,1,0,autre,IT_DEVELOPPEMENT
359,44,0,1,0,casablanca,SPECIAL_AUTRES
315,49,0,1,0,tanger,DATA_IA
357,54,0,1,1,rabat,DATA_IA
391,52,0,1,1,autre,IT_DEVELOPPEMENT
372,56,0,1,0,autre,SPECIAL_AUTRES
426,58,0,1,0,autre,COMPTABILITE_FINANCE
354,55,0,1,0,casablanca,PRODUCTION_INDUSTRIE
358,54,0,1,0,casablanca,INGENIERIE
515,69,0,1,0,sale,IT_DEVELOPPEMENT
398,54,0,1,0,autre,MANAGEMENT_DIRECTION
407,57,0,1,1,rabat,DATA_IA
344,52,0,1,0,casablanca,DATA_IA
331,50,0,1,0,autre,RESSOURCES_HUMAINES
400,55,0,1,0,casablanca,MANAGEMENT_DIRECTION
509,79,0,1,0,casablanca,SPECIAL_AUTRES
349,47,0,1,0,marrakech,COMMERCIAL_VENTE
376,56,0,1,0,autre,MANAGEMENT_DIRECTION
429,54,0,1,0,casablanca,MANAGEMENT_DIRECTION
416,52,0,1,1,casablanca,LOGISTIQUE_TRANSPORT
336,52,0,0,1,tanger,SPECIAL_AUTRES
376,53,0,0,1,autre,COMMERCIAL_VENTE
355,47,0,1,0,casablanca,LOGISTIQUE_TRANSPORT
448,50,0,0,0,rabat,TELECOM_RESEAUX
382,51,1,0,0,casablanca,DATA_IA
374,48,1,0,0,casablanca,SPECIAL_AUTRES
374,54,0,0,0,autre,DATA_IA
341,44,0,1,0,autre,DATA_IA
395,47,0,1,1,casablanca,PRODUCTION_INDUSTRIE
335,45,0,1,0,casablanca,COMPTABILITE_FINANCE
342,44,0,1,1,casablanca,ADMINISTRATIF_SUPPORT
381,50,0,1,0,casablanca,DATA_IA
445,60,0,1,1,casablanca,COMPTABILITE_FINANCE
398,61,0,1,0,rabat,PRODUCTION_INDUSTRIE
380,56,0,0,0,autre,DATA_IA
289,39,0,1,1,autre,SPECIAL_AUTRES
362,53,0,0,0,autre,MANAGEMENT_DIRECTION
370,50,0,1,0,autre,PRODUCTION_INDUSTRIE
429,56,0,1,0,casablanca,MANAGEMENT_DIRECTION
388,52,0,1,0,autre,SPECIAL_AUTRES
361,46,0,1,0,autre,PRODUCTION_INDUSTRIE
412,65,0,1,0,autre,MANAGEMENT_DIRECTION
372,54,0,1,0,autre,PRODUCTION_INDUSTRIE
395,61,0,1,0,autre,MANAGEMENT_DIRECTION
389,48,0,0,1,casablanca,ADMINISTRATIF_SUPPORT
432,62,0,1,1,autre,PRODUCTION_INDUSTRIE
380,54,0,1,0,autre,MANAGEMENT_DIRECTION
441,61,0,1,0,sale,PRODUCTION_INDUSTRIE
380,49,0,0,0,autre,MANAGEMENT_DIRECTION
422,54,0,0,0,casablanca,DATA_IA
443,61,0,0,0,casablanca,COMMERCIAL_VENTE
328,43,0,0,1,casablanca,SANTE_MEDICAL
451,66,0,1,0,autre,SPECIAL_AUTRES
377,55,0,1,0,casablanca,MANAGEMENT_DIRECTION
421,60,0,1,0,marrakech,MANAGEMENT_DIRECTION
300,37,0,0,0,casablanca,SPECIAL_AUTRES
